OLD_PATH	NEW_PATH
1.tex	8.tex
2.tex	49.tex
3.tex	14.tex
4.tex	5.tex
5.tex	10.tex
6.tex	34.tex
7.tex	46.tex
8.tex	47.tex
9.tex	36.tex
10.tex	39.tex
11.tex	26.tex
12.tex	42.tex
13.tex	27.tex
14.tex	15.tex
15.tex	45.tex
16.tex	32.tex
17.tex	21.tex
18.tex	31.tex
19.tex	18.tex
20.tex	4.tex
21.tex	7.tex
22.tex	28.tex
23.tex	25.tex
24.tex	13.tex
25.tex	2.tex
26.tex	51.tex
27.tex	40.tex
28.tex	33.tex
29.tex	50.tex
30.tex	30.tex
31.tex	43.tex
32.tex	23.tex
33.tex	20.tex
34.tex	44.tex
35.tex	38.tex
36.tex	22.tex
37.tex	3.tex
38.tex	29.tex
39.tex	17.tex
40.tex	6.tex
41.tex	9.tex
42.tex	37.tex
43.tex	24.tex
44.tex	19.tex
45.tex	52.tex
46.tex	35.tex
47.tex	16.tex
48.tex	11.tex
49.tex	48.tex
50.tex	12.tex
51.tex	41.tex
52.tex	1.tex
