OLD_PATH	NEW_PATH
1.tex	31.tex
2.tex	26.tex
3.tex	68.tex
4.tex	33.tex
5.tex	79.tex
6.tex	62.tex
7.tex	56.tex
8.tex	58.tex
9.tex	44.tex
10.tex	67.tex
11.tex	54.tex
12.tex	19.tex
13.tex	66.tex
14.tex	49.tex
15.tex	11.tex
16.tex	32.tex
17.tex	69.tex
18.tex	52.tex
19.tex	36.tex
20.tex	1.tex
21.tex	45.tex
22.tex	25.tex
23.tex	38.tex
24.tex	34.tex
25.tex	21.tex
26.tex	72.tex
27.tex	8.tex
28.tex	78.tex
29.tex	17.tex
30.tex	65.tex
31.tex	73.tex
32.tex	41.tex
33.tex	48.tex
34.tex	16.tex
35.tex	2.tex
36.tex	76.tex
37.tex	42.tex
38.tex	27.tex
39.tex	35.tex
40.tex	10.tex
41.tex	23.tex
42.tex	80.tex
43.tex	77.tex
44.tex	20.tex
45.tex	60.tex
46.tex	28.tex
47.tex	37.tex
48.tex	6.tex
49.tex	24.tex
50.tex	43.tex
51.tex	47.tex
52.tex	57.tex
53.tex	39.tex
54.tex	46.tex
55.tex	71.tex
56.tex	75.tex
57.tex	51.tex
58.tex	14.tex
59.tex	74.tex
60.tex	3.tex
61.tex	70.tex
62.tex	15.tex
63.tex	61.tex
64.tex	59.tex
65.tex	30.tex
66.tex	53.tex
67.tex	50.tex
68.tex	63.tex
69.tex	29.tex
70.tex	9.tex
71.tex	5.tex
72.tex	64.tex
73.tex	18.tex
74.tex	7.tex
75.tex	55.tex
76.tex	12.tex
77.tex	13.tex
78.tex	22.tex
79.tex	4.tex
80.tex	40.tex
